title,type,difficulty,description,requirements,deadline
Sentiment Analysis Project,machine_learning,medium,Build a sentiment classifier using NLP,Use Python with NLTK or spaCy. Dataset: movie reviews. Accuracy target: 85%,2026-03-15
Image Classification Challenge,machine_learning,hard,Classify images using CNN,Use PyTorch or TensorFlow. Minimum 10000 images. Accuracy > 90%,2026-03-22
Time Series Forecasting,machine_learning,medium,Predict future trends using LSTM,Stock market or weather data. Use pandas and scikit-learn,2026-03-20
Recommendation System,machine_learning,hard,Build a movie recommendation engine,Collaborative filtering. Dataset: MovieLens. RMSE < 0.8,2026-04-01
Clustering Analysis,machine_learning,easy,Perform customer segmentation,K-means or DBSCAN. 3-5 clusters. Explain insights,2026-03-18
Text Summarization,machine_learning,hard,Create an automatic summarizer,Use transformers. Test on news articles,2026-03-25
Anomaly Detection,machine_learning,medium,Detect outliers in dataset,Isolation Forest or One-Class SVM,2026-03-20
Neural Network from Scratch,machine_learning,hard,Implement a neural network in NumPy,Backpropagation algorithm. No frameworks,2026-04-05
Decision Tree Implementation,machine_learning,easy,Build custom decision tree,Train and test on iris dataset,2026-03-15
Dimensionality Reduction,machine_learning,medium,Apply PCA and t-SNE,Compare effectiveness on high-dim data,2026-03-20
