title,type,language,difficulty,description,testInput,expectedOutput
Calculator Program,Coding,Python,easy,Build a calculator with +,-,*,/,5+3,"8"
Weather App,Coding,Python,easy,Fetch and display weather conditions,get_weather('Delhi'),"Temperature: 28°C Humidity: 65%"
Todo List Manager,Coding,Python,medium,Create a todo list with add/remove/display,add('Task1'); show(),"1. Task1"
Chat Application,Coding,Python,hard,Client-server chat with threads,send_message('Hello'),"Message sent successfully"
File Manager,Coding,Python,medium,Read/write/delete files,read_file('test.txt'),"File contents"
Password Generator,Coding,Python,easy,Generate random passwords,generate(12),"Random 12-char password"
Email Validator,Coding,Python,easy,Validate email format,validate('test@example.com'),"Valid"
JSON Parser,Coding,Python,medium,Parse and manipulate JSON,parse('[1,2,3]'),"[1, 2, 3]"
URL Shortener,Coding,Python,hard,Create shortened URLs with redirect,shorten('http://example.com'),"http://short.url/abc123"
Expense Tracker,Coding,Python,medium,Track and categorize expenses,add_expense(100 'Food'),"Food: Rs. 100"
