title,type,language,difficulty,description,testInput,expectedOutput
Two Sum Problem,Coding,Python,easy,"Find two numbers that add up to target. Return indices.","[1,2,3,7,11], target=9","[0,3]"
Fibonacci Sequence,Coding,Python,easy,Generate fibonacci numbers up to n,"print(fibonacci(10))","[0,1,1,2,3,5,8,13,21,34]"
Reverse String,Coding,Python,easy,Reverse input string without using slicing,"'hello'","'olleh'"
Palindrome Check,Coding,Python,medium,Check if string is palindrome ignoring spaces,"'race car'","True"
Merge Sorted Arrays,Coding,Python,medium,Merge two sorted arrays into one,"[1,3,5], [2,4,6]","[1,2,3,4,5,6]"
FizzBuzz,Coding,Python,easy,Print FizzBuzz pattern for n numbers,"n=15","1 2 Fizz 4 Buzz..."
Prime Numbers,Coding,Python,medium,Find all primes less than n,"n=20","[2,3,5,7,11,13,17,19]"
Binary Search,Coding,Python,medium,Implement binary search algorithm,"[1..10], target=5","4"
Bubble Sort,Coding,Python,easy,Implement bubble sort,"[64,34,25,12,22]","[12,22,25,34,64]"
Hashmap Implementation,Coding,Java,medium,Implement custom HashMap with put/get,"put('key', 123); get('key')","123"
