submission_id,question_id,question,user_answer,correct_answer,is_correct,explanation,category
apt-sub-1062c6a0,q1,"Find the next number in the series: 2, 6, 12, 20, ?",Not Answered,30,false,"The difference between consecutive terms: 4, 6, 8, 10 (increasing by 2). So next difference is 10, and 20 + 10 = 30",Number Series
apt-sub-1062c6a0,q2,"If A is the brother of B, B is the sister of C, and C is the father of D, how is A related to D?",Not Answered,Uncle,false,"A is the brother of B, B is the sister of C (so A is also sibling of C). C is father of D. Therefore A is uncle of D.",Blood Relations
apt-sub-1062c6a0,q3,A train travels at 60 km/hr. How long will it take to cover 180 km?,Not Answered,3 hours,false,Time = Distance / Speed = 180 / 60 = 3 hours,Time & Distance
apt-sub-1062c6a0,q4,What is 15% of 200?,Not Answered,30,false,15% of 200 = (15/100) × 200 = 30,Percentages
apt-sub-1062c6a0,q5,"If the day before yesterday was Thursday, what day is tomorrow?",Not Answered,Sunday,false,"Day before yesterday = Thursday, Yesterday = Friday, Today = Saturday, Tomorrow = Sunday",Calendar
apt-sub-1062c6a0,q6,Complete the analogy: Book is to Reading as Fork is to ____,Not Answered,Eating,false,"A book is used for reading, similarly a fork is used for eating.",Analogies
apt-sub-1062c6a0,q7,"Find the odd one out: Apple, Mango, Potato, Orange",Not Answered,Potato,false,"Apple, Mango, and Orange are fruits. Potato is a vegetable.",Classification
apt-sub-1062c6a0,q8,"If 5 workers can complete a job in 12 days, how many days will 10 workers take?",Not Answered,6 days,false,Work = Workers × Days. 5 × 12 = 60. For 10 workers: 60/10 = 6 days,Work & Time
apt-sub-1062c6a0,q9,"What comes next: A, C, E, G, ?",Not Answered,I,false,"Alternate letters of the alphabet: A(1), C(3), E(5), G(7), I(9)",Letter Series
apt-sub-1062c6a0,q10,"A man walks 5 km North, then 3 km East. How far is he from his starting point?",Not Answered,√34 km,false,Using Pythagorean theorem: √(5² + 3²) = √(25+9) = √34 km,Direction Sense
apt-sub-56d94b9a,q1,"Find the next number in the series: 2, 6, 12, 20, ?",Not Answered,30,false,"The difference between consecutive terms: 4, 6, 8, 10 (increasing by 2). So next difference is 10, and 20 + 10 = 30",Number Series
apt-sub-56d94b9a,q2,"If A is the brother of B, B is the sister of C, and C is the father of D, how is A related to D?",Not Answered,Uncle,false,"A is the brother of B, B is the sister of C (so A is also sibling of C). C is father of D. Therefore A is uncle of D.",Blood Relations
apt-sub-56d94b9a,q3,A train travels at 60 km/hr. How long will it take to cover 180 km?,Not Answered,3 hours,false,Time = Distance / Speed = 180 / 60 = 3 hours,Time & Distance
apt-sub-56d94b9a,q4,What is 15% of 200?,Not Answered,30,false,15% of 200 = (15/100) × 200 = 30,Percentages
apt-sub-56d94b9a,q5,"If the day before yesterday was Thursday, what day is tomorrow?",Not Answered,Sunday,false,"Day before yesterday = Thursday, Yesterday = Friday, Today = Saturday, Tomorrow = Sunday",Calendar
apt-sub-56d94b9a,q6,Complete the analogy: Book is to Reading as Fork is to ____,Not Answered,Eating,false,"A book is used for reading, similarly a fork is used for eating.",Analogies
apt-sub-56d94b9a,q7,"Find the odd one out: Apple, Mango, Potato, Orange",Not Answered,Potato,false,"Apple, Mango, and Orange are fruits. Potato is a vegetable.",Classification
