id,title,description,expected_output,sample_input,difficulty,type,language,mentor_id,status,created_at
prob-arr-001,Two Sum,"Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target.","[0, 1]","nums = [2, 7, 11, 15], target = 9",easy,coding,python,mentor-001,live,2026-02-03T10:00:00Z
prob-arr-002,Find Maximum in Array,Write a function that takes an array of numbers and returns the largest number in the array.,10,"[1, 5, 10, 2, 8]",easy,coding,python,mentor-001,live,2026-02-03T10:05:00Z
prob-arr-003,Reverse an Array,Implement a function that reverses an array in-place. Do not use built-in reverse functions.,"[5, 4, 3, 2, 1]","[1, 2, 3, 4, 5]",medium,coding,python,mentor-002,live,2026-02-03T10:10:00Z
prob-arr-004,Missing Number,"Given an array containing n distinct numbers in the range [0, n], return the only number in the range that is missing from the array.",2,,medium,coding,python,mentor-002,live,2026-02-03T10:15:00Z
prob-arr-005,Array Sum,"Given an array of integers, find the sum of all its elements.",15,"[1, 2, 3, 4, 5]",easy,coding,python,mentor-001,live,2026-02-03T10:30:00Z
prob-arr-006,Largest Element,"Given an array of numbers, find and return the largest element.",45,,easy,coding,python,mentor-001,live,2026-02-03T10:35:00Z
prob-arr-007,Second Largest Element,"Given an array of distinct integers, find the second largest element in the array.",34,"[10, 34, 5, 25, 34, 12]",medium,coding,python,mentor-001,live,2026-02-03T10:40:00Z
448bea2d-f64a-4904-8736-6a7b7f8a6248,Fibonacci Series,asdf,12,,medium,coding,python,mentor-001,live,2026-02-03T05:14:05.460Z
9ebc331c-2fac-4665-aa14-8a6ac707e15d,Reverse a Linked List,"Given the head of a singly linked list, reverse the list, and return the reversed list.","[5, 4, 3, 2, 1]","[1, 2, 3, 4, 5]",hard,coding,python,admin-001,live,2026-02-03T10:26:54.339Z
prob-str-001,Palindrome Check,"Write a function to check if a given string is a palindrome (reads the same forward and backward), ignoring cases and non-alphanumeric characters.",true,"""A man, a plan, a canal: Panama""",Easy,Coding,JavaScript,mentor-002,live,2026-02-03T18:00:00Z
prob-srt-001,Merge Sort Implementation,Implement the Merge Sort algorithm to sort an array of integers in ascending order. Focus on time complexity of O(n log n).,"[1, 2, 5, 8, 9]","[5, 2, 9, 1, 5, 6]",Hard,Coding,JavaScript,mentor-002,live,2026-02-03T18:10:00Z
prob-ll-001,Detect Loop in Linked List,"Given a linked list, determine if it has a cycle in it. Use Floyd's Cycle-Finding Algorithm.",true,,Medium,Coding,JavaScript,mentor-002,live,2026-02-03T18:20:00Z
